88628422;25339;
88628930;25334;
88629439;25358;
88629947;25416;
88630455;25431;
88630964;25422;
88631472;25457;
88631980;25431;
88632489;25388;
88632997;25390;
88633506;25339;
88634014;25364;
88634522;25351;
88635031;25368;
88635539;25357;
88636047;25394;
88636556;25399;
88637064;25399;
88637572;25419;
88638081;25396;
88638589;25382;
88639098;25409;
88639606;25393;
88640114;25379;
88640623;25393;
88641131;25409;
88641639;25440;
88642148;25443;
88642656;25505;
88643165;25518;
88643673;25532;
88644181;25576;
88644690;25567;
88645198;25603;
88645707;25612;
88646215;25620;
88646723;25596;
88647232;25587;
88647740;25596;
88648249;25566;
88648757;25558;
88649265;25504;
88649774;25484;
88650282;25485;
88650790;25441;
88651299;25456;
88651807;25438;
88652316;25431;
88652824;25455;
88653332;25428;
88653841;25481;
88654349;25444;
88654857;25450;
88655366;25477;
88655874;25467;
88656383;25517;
88656891;25520;
88657399;25462;
88657908;25465;
88658416;25466;
88658925;25513;
88659433;25538;
88659941;25564;
88660450;25578;
88660958;25607;
88661467;25628;
88661975;25633;
88662484;25639;
88662992;25642;
88663500;25707;
88664009;25698;
88664517;25700;
88665026;25710;
88665534;25702;
88666042;25729;
88666551;25720;
88667059;25720;
88667568;25700;
88668076;25738;
88668584;25748;
88669093;25751;
88669601;25751;
88670110;25731;
88670618;25778;
88671127;25612;
88671635;25631;
88672143;25499;
88672652;25506;
88673160;25504;
88673669;25512;
88674177;25533;
88674686;25525;
88675194;25509;
88675702;25524;
88676211;25496;
88676719;25464;
88677228;25451;
88677736;25431;
88678244;25436;
88678753;25486;
88679261;25507;
88679770;25562;
88680278;25618;
88680786;25591;
88681295;25499;
88681803;25495;
88682312;25496;
88682820;25480;
88683329;25467;
88683837;25467;
88684345;25434;
88684854;25442;
88685362;25450;
88685871;25518;
88686379;25548;
88686888;25556;
88687396;25525;
88687904;25549;
88688413;25555;
88688921;25563;
88689430;25555;
88689938;25544;
88690446;25561;
88690955;25582;
88691463;25570;
88691972;25553;
88692480;25560;
88692989;25497;
88693497;25459;
88694005;25455;
88694514;25382;
88695022;25400;
88695531;25406;
88696039;25402;
88696548;25400;
88697056;25418;
88697564;25425;
88698073;25448;
88698581;25474;
88699090;25509;
88699598;25503;
88700107;25611;
88700615;25686;
88701124;25628;
88701632;25606;
88702140;25604;
88702649;25570;
88703157;25560;
