2518598;18574;
2519106;18577;
2519614;18571;
2520122;18581;
2520630;18456;
2521138;18336;
2521646;18520;
2522154;18526;
2522662;18478;
2523171;18409;
2523679;18412;
2524187;18338;
2524695;18350;
2525203;18362;
2525711;18369;
2526219;18403;
2526727;18405;
2527235;18433;
2527743;18433;
2528251;18440;
2528759;18408;
2529267;18390;
2529775;18323;
2530283;18301;
2530791;18308;
2531300;18321;
2531808;18354;
2532316;18381;
2532824;18405;
2533332;18390;
2533840;18389;
2534348;18470;
2534856;18483;
2535364;18433;
2535872;18345;
2536380;18330;
2536888;18038;
2537396;18024;
2537904;17974;
2538412;17881;
2538920;17734;
2539428;17062;
2539937;17043;
2540445;16038;
2540953;15962;
2541461;15482;
2541969;15236;
2542477;15193;
2542985;15212;
2543493;15225;
2544001;15481;
2544509;15556;
2545017;15971;
2545525;16741;
2546033;16855;
2546541;17671;
2547050;17734;
2547558;17875;
2548066;18004;
2548574;18034;
2549082;18183;
2549590;18195;
2550098;18306;
2550606;18292;
2551114;18353;
2551622;18362;
2552130;18353;
2552638;18278;
2553146;18278;
2553654;18141;
2554162;18121;
2554670;18244;
2555178;18211;
2555687;18242;
2556195;18225;
2556703;18246;
2557211;18212;
2557719;18225;
2558227;18292;
2558735;18274;
2559243;18413;
2559751;18414;
2560259;18415;
2560767;18394;
2561276;18325;
2561784;18274;
2562292;18255;
2562800;18235;
2563308;18224;
2563816;18255;
2564324;18248;
2564832;18302;
2565340;18292;
2565848;18322;
2566356;18504;
2566865;18514;
2567373;18545;
2567881;18648;
2568389;18641;
2568897;18671;
2569405;18655;
2569913;18654;
2570421;18588;
2570929;18598;
2571438;18615;
2571946;18620;
2572454;18648;
2572962;18626;
2573470;18607;
2573978;18611;
2574486;18619;
2574994;18617;
2575503;18610;
2576011;18620;
2576519;18610;
