2320990;18322;
2321498;18347;
2322006;18423;
2322514;18437;
2323022;18401;
2323530;18384;
2324037;18323;
2324545;18410;
2325053;18452;
2325561;18471;
2326069;18551;
2326577;18587;
2327085;18583;
2327592;18610;
2328100;18647;
2328608;18665;
2329116;18661;
2329624;18649;
2330132;18601;
2330640;18579;
2331148;18566;
2331656;18547;
2332163;18504;
2332671;18486;
2333179;18393;
2333687;18397;
2334195;18375;
2334703;18353;
2335211;18326;
2335719;18304;
2336227;18314;
2336735;18317;
2337243;18322;
2337750;18302;
2338258;18290;
2338766;18288;
2339274;18269;
2339782;18245;
2340290;18278;
2340798;18292;
2341306;18287;
2341814;18349;
2342322;18347;
2342830;18353;
2343338;18396;
2343846;18377;
2344353;18398;
2344861;18404;
2345369;18430;
2345877;18497;
2346385;18503;
2346893;18572;
2347401;18481;
2347909;18482;
2348417;18529;
2348925;18456;
2349433;18448;
2349941;18493;
2350449;18504;
2350957;18517;
2351464;18543;
2351972;18577;
2352480;18690;
2352988;18679;
2353496;18683;
2354004;18620;
2354512;18621;
2355020;18569;
2355528;18556;
2356036;18505;
2356544;18435;
2357052;18443;
2357560;18440;
2358068;18437;
2358576;18438;
2359084;18462;
2359592;18462;
2360099;18495;
2360607;18564;
2361115;18561;
2361623;18560;
2362131;18570;
2362639;18551;
2363147;18555;
2363655;18507;
2364163;18500;
2364671;18359;
2365179;18232;
2365687;18238;
2366195;18166;
2366703;18079;
2367211;18081;
2367719;18006;
2368227;17982;
2368735;18043;
2369243;18184;
2369751;18248;
2370259;18531;
2370767;18535;
2371274;18553;
2371782;18588;
2372290;18582;
2372798;18545;
2373306;18500;
2373814;18413;
2374322;18225;
2374830;18223;
2375338;18029;
2375846;18008;
2376354;18007;
2376862;18281;
2377370;18255;
2377878;18304;
2378386;18395;
2378894;18416;
2379402;18527;
2379910;18541;
2380418;18532;
2380926;18520;
2381434;18521;
2381942;18515;
2382450;18529;
2382958;18536;
2383466;18541;
2383974;18547;
2384482;18554;
2384990;18538;
2385498;18519;
2386006;18476;
2386514;18475;
